url,comments,language,status
https://nationaldailyng.com/feed/,Nigerian,en,active
http://www.devdiscourse.com/rss/website,developing countries,en,active
https://awokonewspaper.sl/feed/,Sierra Leone,en,active
https://harrison.dailyvoice.com/rss/,"Harrison, NY",en,active
http://jamaica-gleaner.com/section_front/10/feed,Jamaica,en,active
https://home.nzcity.co.nz/rss/news.aspx?catid=985&fm=newsmain%2cnarts,NZCity,en,active
https://www.wkrn.com/feed/,Nashville,en,active
https://www.abc.net.au/radio/programs/abc-news-daily/feed/9443166/podcast.xml,"",en,active
https://www.kibskbov.com/feed/,"Bishop, CA",en,active
https://www.kenyagist.com/feed/,Kenya,en,active
http://www.indiandefensenews.in/feeds/posts/default,India,en,active
https://worcester.dailyvoice.com/rss/,"Worcester County, MA",en,active
https://lagatar24.com/category/jharkhand/feed/,Jharkhand,en,active
https://www.nbcconnecticut.com/tag/florida/feed/,"Connecticut, Florida",en,active
https://thewest.com.au/news/world/rss,world,en,active
https://wlni.com/feed/,"Lynchburg, VA",en,active
https://www.local10.com/arc/outboundfeeds/rss/category/news/?outputType=xml&size=10,"Miami, Fort Lauderdale",en,active
https://www.igberetvnews.com/feed/atom,Nigerian,en,active
https://www.irishmirror.ie/news/irish-news/rss.xml,Ireland,en,active
https://www.tspr.org/npr-news.rss,Texas,en,active
https://www.durangoherald.com/feeds/news,Durango,en,active
https://durangoherald.com/feeds/news,Durango,en,active
https://www.nbc26.com/news.rss,Green Bay,en,active
https://rustavi2.ge/en/rss,Georgian,en,active
https://www.kerrfatou.com/feed/,Gambia,en,active
https://www.news4jax.com/arc/outboundfeeds/rss/category/news/?outputType=xml&size=10,Jacksonville,en,active
http://www.recorderonline.com/search/?f=rss&t=article&c=news/state_news&l=50&s=start_time&sd=desc,US,en,active
https://www.nbc4.com/news/local/prince-georges-county/feed/,Prince George's County,en,active
https://wtmj.com/category/news/featured-stories/feed/,Milwaukee,en,active
http://alerts.weather.gov/cap/ga.php?x=0,Georgia (US),en,active
https://dnyuz.com/category/news/us/feed/,US,en,active
http://feeds.nepalnews.net/rss/7399985502eaed63,Nepal,en,active
https://innonews.com.ng/feed/,Nigeria,en,active
https://www.fox17online.com/news.rss,"Grand Rapids, MI",en,active
https://www.bluemountainsgazette.com.au/rss.xml,"Blue Mountains, Australia",en,active
http://www.ummid.com/syndications/ummid.xml,India,en,active
https://westbridgfordwire.com/news/feed/,"West Bridgford, UK",en,active
https://www.ktvq.com/sitemap.rss,"Billings, MT",en,active
https://www.krtv.com/news/u-s-and-the-world.rss,"Great Falls, MT, US, world",en,active
https://perilofafrica.com/category/news/feed,Africa,en,active
https://lfpress.com/feed/,"London, Canada",en,active
http://napavalleyregister.com/search/?f=rss&t=article&c=news&l=50&s=start_time&sd=desc,Napa Valley,en,active
https://www.wbbjtv.com/feed/,"Jackson, TN",en,active
https://www.irishmirror.ie/news/world-news/rss.xml,world,en,active
https://www.katc.com/sitemap.rss,"Lafayette, LA",en,active
https://wsvn.com/news/local/florida/feed/,Florida,en,active
http://denvergazette.com/search/?f=rss&t=article&c=news/local&l=50&s=start_time&sd=desc,Denver,en,active
https://www.caribjournal.com/feed/rss/,Caribbean,en,active
https://scarsdale.dailyvoice.com/rss/,Scarsdale,en,active
